Rock_Type,Ore_Grade,Tonnage,Ore_Value,Mining_Cost,Processing_Cost,Waste_Flag,Profit
Hematite,55.06,1738,333.14,43,39,0,436481.32
Waste,0,1569,0,63,31,1,-147486
Magnetite,56.01,2124,318.1,39,25,0,539708.4
Hematite,61.94,1840,257.36,52,20,0,341062.4
Hematite,60.59,1667,315.22,64,30,0,368773.74
Magnetite,60.96,1032,276.04,34,34,0,214697.28
Magnetite,51.89,2012,275.9,36,39,0,404210.8
Waste,0,2498,0,55,27,1,-204836
Magnetite,57.71,2253,265.84,30,21,0,484034.52
Waste,0,1935,0,63,25,1,-170280
Magnetite,57.58,1734,342.2,60,37,0,425176.8
Hematite,53.91,1504,305.3,49,32,0,337347.2
Hematite,63.18,1073,309.48,33,35,0,259108.04
Magnetite,64.58,1760,342.72,54,36,0,444787.2
Magnetite,52.54,2196,305.61,60,21,0,493243.56
Hematite,62.09,1272,312,45,22,0,311640
Waste,0,1273,0,62,21,1,-105659
Hematite,62.11,1250,333.65,63,27,0,304562.5
Hematite,63.37,1839,289.35,37,29,0,410740.65
Magnetite,57.1,1845,265.15,39,25,0,371121.75
Magnetite,63.38,2170,326.79,64,23,0,520344.3
Magnetite,62.98,1576,319.35,36,25,0,407159.6
Magnetite,60.7,1580,315.66,47,23,0,388142.8
Waste,0,1200,0,60,37,1,-116400
Magnetite,55.23,2468,290.34,51,38,0,496907.12
Hematite,50.29,2106,324.05,39,38,0,520287.3
Waste,0,1474,0,31,27,1,-85492
Waste,0,2571,0,45,20,1,-167115
Hematite,63.43,2881,289.8,42,35,0,613076.8
Magnetite,60.35,1072,293.67,65,34,0,208686.24
Hematite,56.05,1969,313.84,36,31,0,486027.96
Magnetite,56.74,1688,310.62,48,33,0,387598.56
Magnetite,64.05,2540,338.16,46,35,0,653186.4
Waste,0,1751,0,61,38,1,-173349
Hematite,52.62,2546,309.95,56,30,0,570176.7
Magnetite,53.51,1452,259.31,37,30,0,279234.12
Hematite,60.23,1330,335.69,30,31,0,365337.7
Hematite,57.71,2814,334.46,56,39,0,673840.44
Magnetite,64.75,1331,301.54,45,26,0,306848.74
Waste,0,1578,0,51,27,1,-123084
Magnetite,61.41,1565,266.89,65,21,0,283092.85
Hematite,63.75,2391,285.57,49,21,0,515427.87
Magnetite,60.56,2493,255.47,47,36,0,429967.71
Hematite,62.58,1251,349.99,37,21,0,365279.49
Hematite,52.96,2007,290.13,68,21,0,403667.91
Waste,0,1505,0,33,32,1,-97825
Waste,0,2116,0,48,33,1,-171396
Magnetite,55.8,1807,268.31,39,27,0,365574.17
Hematite,52.35,1840,283.85,64,27,0,354844
Waste,0,1028,0,39,26,1,-66820
Hematite,60.71,1961,349.19,55,34,0,510232.59
Magnetite,56.87,1168,277.21,39,36,0,236181.28
Magnetite,64.45,2781,253.4,30,33,0,529502.4
Waste,0,1163,0,57,28,1,-98855
Hematite,59.18,2378,313.58,40,22,0,598257.24
Magnetite,62.4,2616,269.64,55,27,0,490866.24
Waste,0,2240,0,50,36,1,-192640
Hematite,60.22,2022,259.94,43,37,0,363838.68
Magnetite,61.07,2161,267.95,57,35,0,380227.95
Magnetite,52.54,2483,262.75,68,30,0,409074.25
Magnetite,50.12,1356,262.29,51,28,0,248541.24
Hematite,56.6,1697,296.19,42,38,0,366874.43
Hematite,54.75,1713,338.75,63,26,0,427821.75
Hematite,64.57,1764,287.13,36,35,0,381253.32
Waste,0,2477,0,33,33,1,-163482
Hematite,61.92,1708,263.46,58,29,0,301393.68
Hematite,62.19,1357,288.25,41,36,0,286666.25
Hematite,60.54,2663,327.63,41,31,0,680742.69
Magnetite,62.79,2698,269.38,59,30,0,486665.24
Magnetite,57.13,1371,322.64,64,31,0,312094.44
Hematite,60.72,1169,250.97,56,25,0,198694.93
Hematite,56.71,2476,333.24,47,34,0,624546.24
Hematite,60.76,1942,267.68,31,32,0,397488.56
Magnetite,54.41,2361,287.55,61,20,0,487664.55
Hematite,61.2,2513,262.99,31,26,0,517652.87
Hematite,50.84,1162,311.49,51,26,0,272477.38
Magnetite,62.93,2805,278.61,62,30,0,523441.05
Magnetite,50.13,1625,331.27,57,38,0,383938.75
Hematite,55.67,1847,294.35,34,23,0,438385.45
Hematite,64.69,2250,257.08,36,31,0,427680
Hematite,51.77,2647,259.58,47,36,0,467407.26
Hematite,59.72,1526,316.15,48,30,0,363416.9
Magnetite,60.52,1123,251.8,52,22,0,199669.4
Waste,0,1636,0,49,24,1,-119428
Hematite,64.1,2578,274.4,34,38,0,521787.2
Hematite,61.53,2721,282.49,45,33,0,556417.29
Hematite,57.59,2396,256.65,47,20,0,454401.4
Waste,0,1270,0,45,35,1,-101600
Hematite,50.57,2788,269.69,55,22,0,537219.72
Hematite,64.88,1355,306.92,46,38,0,302056.6
Hematite,60.27,1192,318.06,32,29,0,306415.52
Magnetite,51.27,2687,293.9,39,30,0,604306.3
Hematite,60.91,2302,292.78,30,35,0,524349.56
Waste,0,1959,0,41,34,1,-146925
Magnetite,56.97,2562,301.39,63,20,0,559515.18
Magnetite,64.24,2908,292.97,31,22,0,697832.76
Hematite,53.09,1390,344.58,52,35,0,358036.2
Hematite,57,1051,312.3,65,23,0,235739.3
Hematite,55.08,2180,336.71,64,38,0,511667.8
Hematite,60.28,1481,264.25,62,24,0,263988.25
Hematite,52.05,2491,296.5,59,30,0,516882.5
Hematite,59,1048,273.51,30,21,0,233190.48
Magnetite,59.68,1237,346.9,66,22,0,320259.3
Magnetite,51.38,2079,306.53,30,25,0,522930.87
Waste,0,2294,0,37,22,1,-135346
Magnetite,51.89,1525,319.51,55,28,0,360677.75
Magnetite,55.28,1630,253.72,65,35,0,250563.6
Magnetite,63.39,1031,254.29,62,24,0,173506.99
Hematite,60.65,2369,321.84,38,24,0,615560.96
Waste,0,1338,0,60,31,1,-121758
Magnetite,52.11,2818,328.03,52,26,0,704584.54
Magnetite,50.73,2426,299.35,45,25,0,556403.1
Hematite,50.33,1989,254.98,54,27,0,346046.22
Hematite,60.95,1773,328.79,60,28,0,426920.67
Hematite,51.12,1264,278.18,46,39,0,244179.52
Magnetite,54.33,2800,250.7,61,37,0,427560
Magnetite,60.89,2805,301.36,61,22,0,612499.8
Waste,0,1472,0,45,33,1,-114816
Hematite,56.52,2468,285.59,30,22,0,576500.12
Hematite,53.06,1047,349.68,48,37,0,277119.96
Hematite,51.83,2412,339.5,42,22,0,664506
Magnetite,52.04,1710,279.54,35,28,0,370283.4
Magnetite,53.95,1869,325.37,61,33,0,432430.53
Waste,0,1198,0,43,28,1,-85058
Magnetite,61.71,1086,329.24,39,25,0,288050.64
Magnetite,52.9,1097,335.87,43,24,0,294950.39
Hematite,52,2957,301.01,56,36,0,618042.57
Magnetite,61.2,2100,255.19,40,37,0,374199
Hematite,52.8,1078,280.83,50,37,0,208948.74
Magnetite,53.29,2294,293.04,32,23,0,546063.76
Hematite,58.37,2088,264.48,60,38,0,347610.24
Hematite,53.15,1701,276.07,36,25,0,365834.07
Hematite,59.71,2763,283.34,66,28,0,523146.42
Magnetite,63.24,2075,262,41,21,0,415000
Hematite,54.38,1581,310.53,37,36,0,375534.93
Hematite,54.93,1469,299.25,41,30,0,335299.25
Magnetite,61.69,2186,341.47,30,20,0,637153.42
Magnetite,63.1,2208,343.04,47,26,0,596248.32
Hematite,64.85,2888,323.02,35,38,0,722057.76
Hematite,54.77,2803,292.67,35,35,0,624144.01
Hematite,53.84,1204,261.75,57,20,0,222439
Hematite,52.55,2869,279.11,64,36,0,513866.59
Magnetite,57.41,2299,343.41,32,32,0,642363.59
Hematite,63.84,1710,340.29,55,30,0,436545.9
Magnetite,57.91,2110,256.4,56,31,0,357434
Hematite,60.35,1656,314.07,61,28,0,372715.92
Magnetite,59.92,2551,322.85,46,33,0,622061.35
Waste,0,2683,0,35,21,1,-150248
Magnetite,63.17,2541,308.22,65,32,0,536710.02
Magnetite,60.67,2090,265.14,54,31,0,376492.6
Magnetite,52.68,1539,257.44,60,36,0,248456.16
Hematite,61.11,1787,341.41,32,36,0,488583.67
Magnetite,59.33,1233,326.85,52,20,0,314230.05
Magnetite,50.06,1696,299.34,57,28,0,363520.64
Hematite,61.85,1979,278.05,67,29,0,360276.95
Magnetite,50.6,2368,318.11,67,27,0,530692.48
Magnetite,53.39,1958,317.17,62,23,0,454588.86
Hematite,62.86,2016,277.42,45,36,0,395982.72
Waste,0,1468,0,36,36,1,-105696
Hematite,63.7,2797,275.13,59,24,0,537387.61
Magnetite,55.68,1487,308.41,69,24,0,320314.67
Hematite,50.89,1161,285.86,55,32,0,230876.46
Magnetite,63.29,2502,262.53,50,38,0,436674.06
Magnetite,53.63,1798,347.55,56,21,0,486448.9
Magnetite,52.61,2904,299.7,66,39,0,565408.8
Hematite,60.96,1202,285.82,62,20,0,244991.64
Waste,0,2285,0,68,31,1,-226215
Hematite,50.84,1769,337.71,36,36,0,470040.99
Hematite,62.79,2147,272.95,42,35,0,420704.65
Hematite,59.85,1360,256.53,46,25,0,252320.8
Magnetite,62.53,2703,305.02,44,22,0,646071.06
Waste,0,2564,0,55,27,1,-210248
Hematite,55.1,1343,261.29,43,26,0,258245.47
Hematite,51.15,1598,322.41,65,33,0,358607.18
Waste,0,2835,0,42,26,1,-192780
Magnetite,52.98,1677,287.03,69,22,0,328742.31
Magnetite,56.78,2707,267.64,60,38,0,459215.48
Hematite,59.83,2885,306.36,53,33,0,635738.6
Magnetite,64.01,1237,298.88,50,23,0,279413.56
Hematite,60.33,2523,270.73,36,32,0,511487.79
Magnetite,56.43,1866,304.13,43,24,0,442484.58
Magnetite,59.35,2993,312.41,55,29,0,683631.13
Magnetite,64.63,2754,338.55,50,30,0,712046.7
Magnetite,51.79,1306,309.14,30,35,0,318846.84
Hematite,54.32,1780,264.71,54,25,0,330563.8
Hematite,53.47,1184,332.03,57,32,0,287747.52
Magnetite,55.51,1280,270.53,69,23,0,228518.4
Magnetite,52.88,2600,263.88,50,38,0,457288
Hematite,60.99,2183,346.92,41,23,0,617614.36
Magnetite,54.27,2184,340.91,40,24,0,604771.44
Magnetite,64.04,1904,325.27,61,36,0,434626.08
Magnetite,59.5,2341,262.99,38,22,0,475199.59
Waste,0,2857,0,66,20,1,-245702
Hematite,56.32,1600,281.17,64,20,0,315472
Hematite,61.12,1464,302.72,43,24,0,345094.08
Hematite,51.57,2797,285.53,55,36,0,544100.41
Waste,0,2931,0,53,38,1,-266721
Magnetite,51.99,1037,333.99,39,34,0,270646.63
Magnetite,51.64,2804,346.92,48,39,0,728815.68
Magnetite,61.26,2823,276.12,68,22,0,525416.76
Magnetite,54.82,1722,288.92,45,38,0,354594.24
Waste,0,1504,0,65,39,1,-156416
Magnetite,64.46,2726,254.23,43,34,0,483128.98
Hematite,56.91,2792,344.16,61,28,0,712406.72
Waste,0,1954,0,69,39,1,-211032
Hematite,52.43,1503,271.73,68,25,0,268631.19
Hematite,50.36,2055,299.09,59,28,0,435844.95
Magnetite,51.25,1767,255.22,61,30,0,290176.74
Waste,0,1748,0,34,35,1,-120612
Hematite,54.75,2338,270.9,35,26,0,490746.2
Magnetite,54.44,2727,265.61,38,38,0,517066.47
Magnetite,57.99,2572,322.54,40,26,0,659820.88
Magnetite,56.06,2945,322.34,37,33,0,743141.3
Hematite,56.57,1931,282.07,60,31,0,368956.17
Waste,0,1427,0,33,30,1,-89901
Hematite,57.99,1100,333.38,43,31,0,285318
